Reference|Auteur|Domaine|maitre_attendu|categorie_attendue|famille_attendue|motif
000PE000548|Corneille Michel-Ange (1642-1708)|peinture||||Corneille Michel-Ange, peintre lyonnais : 422 attributions certaines captées à tort
50350011790|Corneille Michel-Ange (1642-1708) (attribué à);Romain Jules (1499-1546) (inspiré par)|dessin||||Corneille Michel-Ange écarté ; l'autre segment est revendiqué par Jules Romain (ligne suivante)
50350011790|Corneille Michel-Ange (1642-1708) (attribué à);Romain Jules (1499-1546) (inspiré par)|dessin|Jules Romain|propre||Jules Romain retenu au temps 5 ; « inspiré par » vaut attribution ferme dans le lexique
50350011803|Corneille Michel-Ange (1642-1708) (attribué à);Carracci Annibale (1560-1609) (inspiré par)|dessin|Annibale Carracci|propre||Corneille écarté, mais Annibale Carracci reste pris sur la même notice
000PE020938|CERQUOZZI Michelangelo (attribué);Michel Ange des Batailles (dit)|peinture||||Cerquozzi, dit « Michel-Ange des batailles » : le surnom ne doit pas le rattacher
000PE021251|MERISI Michelangelo (école);LE CARAVAGE (dit, école)|peinture||||Le Caravage
00000077350|LE CARAVAGE (dit, genre de);MERISI Michelangelo (genre de);anonyme|peinture||||Le Caravage
08940000842|Pace Michelangelo (1610-1670) (attribué à)|beaux-arts;peinture||||Michelangelo Pace
M0347001723|BUONARROTI Michelangelo (?);SARTO Andrea del (?, manière de)|peinture|Michel-Ange|doute|point_interrogation|Buonarroti, rattachement correct — une notice peut nommer deux maîtres
M0347001723|BUONARROTI Michelangelo (?);SARTO Andrea del (?, manière de)|peinture|Andrea del Sarto|doute|point_interrogation|le second maître de la même notice
02110002116|BUONARROTI Michelangelo (école);MICHEL-ANGE (dit)|dessin|Michel-Ange|doute|ecole_de|deux graphies, l'une prudente l'autre ferme : la prudente l'emporte
00000075044|Hébert Ernest (1817-1908);MICHEL-ANGE (dit, d'après);BUONARROTI Michelangelo (d'après)|dessin|Michel-Ange|copie||copie assumée, comptée une seule fois malgré les deux graphies
000PE014515|ROBUSTI Jacopo (attribué à);LE TINTORET (dit, attribué à)|peinture|Le Tintoret|doute|attribue|deux graphies du Tintoret sur une seule notice
000PE016095|ROBUSTI Domenico (attribué à)|peinture||||Domenico Robusti, le fils
06190022852|Robusti Domenico Dit TINTORET|peinture;beaux-arts||||le fils, sous une graphie qui nomme le père
00190101941|TINTORET Domenico (d'après)|peinture||||le fils encore
000PE004256|DUPRE François Xavier;VECELLIO Tiziano (d'après);LE TITIEN (d'après, dit)|peinture|Titien|copie||deux graphies du Titien, une seule copie
10500004900|VECELLIO Francesco (attribué à)|peinture||||Francesco Vecellio, de la famille
M1111160013099|Guerra ou Krieger Christoforo ou Christof (-);Vecellio Cesare (1521-1601)|manuscrits, imprimés, reliure||||Cesare Vecellio, de la famille
06190002148|ASPETTI Tiziano|sculpture||||Tiziano Aspetti : « Tiziano » n'est ici qu'un prénom
07120002163|anonyme;Le Corrège (dit, d'après);ALLEGRI Antonio (d'après)|sculpture;ivoirerie;ethnologie|Le Corrège|copie||deux graphies du Corrège
00000068482|PRIMATICCIO Francesco (d'après);LE PRIMATICE (dit, d'après);anonyme|dessin|Le Primatice|copie||deux graphies du Primatice
50350105462|ECOLE DE PRIMATICCIO;ECOLE DE FONTAINEBLEAU|dessin|Le Primatice|doute|ecole_de|le nom n'est pas en tête : l'ancre ne doit pas s'appliquer ici
M0332004170|VOUET Simon (?);VOUET Simon (atelier, dessinateur)|dessin|Simon Vouet|doute|point_interrogation|deux formulations prudentes : une seule référence, le « ? » l'emporte
M0332004171|VOUET Simon (?);VOUET Simon (atelier, dessinateur)|dessin|Simon Vouet|doute|point_interrogation|idem
M0332004172|VOUET Simon (?);VOUET Simon (atelier, dessinateur)|dessin|Simon Vouet|doute|point_interrogation|idem
000PE001834|LEMAIRE Jean;LEMAIRE-POUSSIN (dit)|peinture||||Jean Lemaire dit Lemaire-Poussin
00000056332|LAVALLEE-POUSSIN Etienne de (attribué)|peinture||||Étienne de Lavallée-Poussin
M0350002026|DUGHET Gaspard (dit) POUSSIN Gaspard (entourage de)|peinture|Gaspard Dughet|doute|entourage_de|Gaspard Dughet, beau-frère de Nicolas Poussin, retenu à son nom au temps 5
06070000864|INGRES Jean Marie Joseph|peinture||||un autre Ingres
06070060045|Desgoffe Aline (propriétaire);IIngres Jean-Auguste-Dominique (1780-1867) (dessinateur);Desgoffe Blaise (dessinateur);Madame Ingres (dessinateur);Lehmann Henri (1814-1882) (dessinateur)|dessin||||Madame Ingres, dessinatrice ; et « IIngres » avec deux I, faute de saisie qui échappe à tout motif
000PE000528|COLLIN Raphaël|peinture||||Raphaël en prénom
M0794011215|Lardeur Raphaël (1890-1967)|beaux-arts;dessin||||Raphaël en prénom
06390003453|LONNE Raphael|dessin||||Raphaël en prénom
000PE020468|MENGS Anton Raphaël|peinture||||Raphaël en prénom
M1111160023862|Raphaël-Schwartz (1884-1942)|estampe;arts graphiques||||nom composé commençant par Raphaël
00000069097|CALIARI Carlo (attribué)|peinture||||Carlo Caliari, le fils de Véronèse
50350230540|CALIARI Benedetto;CALIARI Paolo (inspiré par)|dessin|Véronèse|propre||le frère est écarté, Paolo Caliari reste pris sur la même notice
06190022771|Mignard Pierre I (1610-1695)|peinture;beaux-arts|Pierre Mignard|propre||Pierre Mignard I, le maître
04640018070|MIGNARD Pierre II (peintre)|peinture;croyances - coutumes||||Pierre Mignard II, le neveu
000PE003525|DYCK Philip Van|peinture||||Philip van Dyck
50350018169|Parrocel Étienne (1696-1775);VINCI Pierino da (inspiré par)|dessin||||Pierino da Vinci, le neveu de Léonard
05940000379|RIBERA Y CIRERA Roman|peinture||||Roman Ribera y Cirera
06380000698|RUBENS Arnold Frans;RUBENS des BATAILLES (dit)|peinture||||Arnold Frans Rubens et le « Rubens des batailles »
70500001179|Barla Jean-Baptiste (1817-1896) (attribué à)|sciences naturelles;dessin;faune|Jean-Baptiste Barla|doute|attribue|Lot 2 : le fonds du muséum de Nice, 5 791 notices d'un même geste de catalogue
000PE000824|David (1748-1825) (attribué à)|peinture;histoire|Jacques-Louis David|doute|attribue|Lot 2 : ses notices ne portent que « David » et ses dates — seule l'égalité stricte le prend
08120003441|DUTHOIT Aimé (?);DUTHOIT Louis (?)|dessin|Aimé Duthoit|doute|point_interrogation|Lot 2 : les deux frères d'Amiens nommés ensemble, le musée hésite entre eux
08120003441|DUTHOIT Aimé (?);DUTHOIT Louis (?)|dessin|Louis Duthoit|doute|point_interrogation|Lot 2 : la même notice compte pour l'un ET pour l'autre, l'union ne la compte qu'une fois
M5060000255|HUGO Charles (?);VACQUERIE Auguste (?)|photographie|Charles Hugo|doute|point_interrogation|Lot 2 : les photographies de Jersey, attribuées à l'un ou à l'autre
M5060000255|HUGO Charles (?);VACQUERIE Auguste (?)|photographie|Auguste Vacquerie|doute|point_interrogation|Lot 2 : Victor Hugo (2 504 mentions certaines) n'est pas pris par le motif
02860008204|PASSE Crispin I Van de (?, inventeur, graveur);PASSE Crispin II Van de (?, inventeur, graveur)|estampe|Crispin de Passe l'Ancien|doute|point_interrogation|Lot 2 : le père et le fils séparés par le chiffre que Joconde écrit
02860008204|PASSE Crispin I Van de (?, inventeur, graveur);PASSE Crispin II Van de (?, inventeur, graveur)|estampe|Crispin de Passe le Jeune|doute|point_interrogation|Lot 2 : « I » ne doit jamais capturer « II »
07480000137|TURPIN DE CRISSE Lancelot Henri Roland;TURPIN DE CRISSE Père (?, dessinateur);TURPIN DE CRISSE Lancelot Théodore Comte de (?, dessinateur);ROBERT Hubert (d'après)|dessin|Turpin de Crissé|doute|point_interrogation|Lot 2 : seul le fils est retenu ; le père, désigné « Père », reste écarté sur la même notice
M0537007970|PINOT Charles (dessinateur, attribué à);Pellerin & Cie (imprimeur, éditeur)|estampe|Charles François Pinot|doute|attribue|Lot 2 : « PINOT Charles » et « PINOT Charles François » sont un seul imagier
M0537000075|Ensfelder Eugène (1836-1876) (attribué à);Pellerin & Cie|estampe;croyances - coutumes|Charles Eugène Ensfelder|doute|attribue|Lot 2 : « Eugène » et « Charles Eugène » portent les mêmes dates ; Pellerin & Cie reste dehors
50170003231|HOGENBERG François (graveur, école)|estampe;histoire|Frans Hogenberg|doute|ecole_de|Lot 2 : François, Frans et Franz sont le même graveur ; Nicolas et Abraham sont d'autres
50030009049|COLYN DE COTER (entourage)|tapisserie;médiéval|Colijn de Coter|doute|entourage_de|Lot 2 : les deux ordres du nom réunis sous une seule personne
00000062960|MELLET Jacques Père (?);MELLET Jules Fils (?);MELLET Henri Fils (?)|dessin||||Lot 2 écarté : les mêmes 41 notices nomment les trois Mellet, aucun prénom n'individualise
00160008602|PETER (attribué à)|photographie||||Lot 2 écarté : nom sans prénom
00160008549|VARADY A (attribué à)|photographie||||Lot 2 écarté : prénom réduit à une initiale
07250016042|BUQUET (atelier)|dessin||||Lot 2 écarté : nom nu et mention « atelier »
5002P000235|Prévost (atelier)|peinture;ethnologie||||Lot 2 écarté : nom nu et mention « atelier »
M0537000151|Pellerin (imprimeur, éditeur, attribué à)|estampe;croyances - coutumes||||Lot 2 écarté : raison sociale, pas une personne
07480036069|MOGHOLE DE MURSHIDABAD (école)|miniature;Asie méridionale||||Lot 2 écarté : école régionale, pas une personne
