groupe,nom_public,oeuvres_concernees,nom_complet_et_variantes,dates_ou_activite,profession,raison_absence,p18_refuse,motif_refus,ou_chercher,requete_conseillee,candidate_url,source,credit,license,commentaire,verdict
1,Louis Duthoit,94,Duthoit Louis,1807–1874,sculpteur et dessinateur,image trouvée mais écartée au contrôle visuel,Chapelle Saint-Joseph Amiens 110608 02.jpg,une œuvre : la statue de saint Joseph de la cathédrale d’Amiens,musée de Picardie · fiche Wikidata Q19849909,"""Louis Duthoit"" 1807-1874 portrait OR autoportrait OR photographie",,,,,,
1,Nicasius Bernaerts,29,BERNAERTS Nicasius,1620–1678,peintre,image trouvée mais écartée au contrôle visuel,Beaux-Arts de Carcassonne - Bataille de chiens et de chats - Nicasius Bernaerts.jpg,une œuvre : nature morte « Bataille de chiens et de chats »,musée national du château de Fontainebleau · fiche Wikidata Q7024540,"""Nicasius Bernaerts"" 1620-1678 portrait OR autoportrait OR photographie",,,,,,
1,Colijn de Coter,27,COLYN DE COTER · De Coter Colijn · COTER Colijn De,vers 1455 – vers 1539,peintre,image trouvée mais écartée au contrôle visuel,Coter Pruszcz Polyptych.jpg,une œuvre : le polyptyque de Pruszcz,musée du Moyen Age - thermes et hôtel de Cluny · fiche Wikidata Q1108307,"""Colijn de Coter"" 1455-1539 portrait OR autoportrait OR photographie",,,,,,
1,Israël Henriet,26,Henriet Israël · HENRIET Israël : Editeur · Israël Henriet,1590–1661,graveur et éditeur,image trouvée mais écartée au contrôle visuel,"Israël Henriet publisher inscription, detail from Stefano della Bella's engraving.jpg",pas une figure : l’inscription d’éditeur au bas d’une gravure,musée des beaux-arts · fiche Wikidata Q3155663,"""Israël Henriet"" 1590-1661 portrait OR autoportrait OR photographie",,,,,,
2,Alexandre Clausel,295,Clausel Alexandre,1802–1884,photographe,fiche d’autorité Q52154652 sans aucune image (P18 absent),,,musée des beaux-arts et d’archéologie · Wikidata Q52154652 · Gallica,"""Alexandre Clausel"" 1802-1884 portrait OR autoportrait OR photographie",,,,,,
2,Léon Tirode,231,Tirode Léon,1873–1956,peintre,fiche d’autorité Q131924320 sans aucune image (P18 absent),,,musée des beaux-arts et d'archéologie · Wikidata Q131924320 · Gallica,"""Léon Tirode"" 1873-1956 portrait OR autoportrait OR photographie",,,,,,
2,Léon Fort,107,FORT Léon,1870–1965,peintre et dessinateur,fiche d’autorité Q22946093 sans aucune image (P18 absent),,,musée d'Art et d'Histoire Louis Senlecq · Wikidata Q22946093 · Gallica,"""Léon Fort"" 1870-1965 portrait OR autoportrait OR photographie",,,,,,
2,Aimé Duthoit,93,Duthoit Aimé,1803–1869,sculpteur et dessinateur,fiche d’autorité Q19849903 sans aucune image (P18 absent),,,musée de Picardie · Wikidata Q19849903 · Gallica,"""Aimé Duthoit"" 1803-1869 portrait OR autoportrait OR photographie",,,,,,
2,François Georgin,43,Georgin François,1801–1863,graveur,fiche d’autorité Q52063671 sans aucune image (P18 absent),,,musée de l'image · Wikidata Q52063671 · Gallica,"""François Georgin"" 1801-1863 portrait OR autoportrait OR photographie",,,,,,
2,Peter Hawke,42,HAWKE Peter,1801–1887,dessinateur et lithographe,fiche d’autorité Q52149491 sans aucune image (P18 absent),,,musée des beaux-arts et galerie David-d'Angers · Wikidata Q52149491 · Gallica,"""Peter Hawke"" 1801-1887 portrait OR autoportrait OR photographie",,,,,,
2,Auguste Alleaume,39,ALLEAUME Auguste,1854–1940,peintre verrier et dessinateur,fiche d’autorité Q17621651 sans aucune image (P18 absent),,,musée du Vieux-Château · Wikidata Q17621651 · Gallica,"""Auguste Alleaume"" 1854-1940 portrait OR autoportrait OR photographie",,,,,,
2,Gustave Lancelot,32,LANCELOT Gustave,1830–1906,photographe et dessinateur,fiche d’autorité Q52218625 sans aucune image (P18 absent),,,musée des beaux-arts et d’archéologie · Wikidata Q52218625 · Gallica,"""Gustave Lancelot"" 1830-1906 portrait OR autoportrait OR photographie",,,,,,
2,Odilon Roche,32,ROCHE Odilon,1868–1947,dessinateur,fiche d’autorité Q34322977 sans aucune image (P18 absent),,,musée Rodin · Wikidata Q34322977 · Gallica,"""Odilon Roche"" 1868-1947 portrait OR autoportrait OR photographie",,,,,,
2,Frans Hogenberg,32,HOGENBERG François · HOGENBERG Frans,1535–1590,graveur,fiche d’autorité Q959748 sans aucune image (P18 absent),,,musée national du château de Pau · Wikidata Q959748 · Gallica,"""Frans Hogenberg"" 1535-1590 portrait OR autoportrait OR photographie",,,,,,
2,Nicolaus Hoffmann,30,HOFFMANN Nicolaus,1740–1823,dessinateur,fiche d’autorité Q43131556 sans aucune image (P18 absent),,,musée franco-américain du château de Blérancourt · Wikidata Q43131556 · Gallica,"""Nicolaus Hoffmann"" 1740-1823 portrait OR autoportrait OR photographie",,,,,,
2,Auguste Beuret,28,BEURET Auguste,1866–1934,dessinateur,fiche d’autorité Q139046961 sans aucune image (P18 absent),,,musée Rodin · Wikidata Q139046961 · Gallica,"""Auguste Beuret"" 1866-1934 portrait OR autoportrait OR photographie",,,,,,
2,Joseph Hussenot,27,Hussenot Joseph,1827–1896,dessinateur,fiche d’autorité Q3185100 sans aucune image (P18 absent),,,musée de l'image · Wikidata Q3185100 · Gallica,"""Joseph Hussenot"" 1827-1896 portrait OR autoportrait OR photographie",,,,,,
2,René Ackermann,26,ACKERMANN René,1853–1913,imprimeur et lithographe,fiche d’autorité Q115255686 sans aucune image (P18 absent),,,musée Westercamp · Wikidata Q115255686 · Gallica,"""René Ackermann"" 1853-1913 portrait OR autoportrait OR photographie",,,,,,
